id,name (LP이름),image,category,수록일자,국가,위치,가수,side1,side2,,,,,memo,비고,,,,,,,,,,,,
,봄 여름 가을 겨울 1집,https://i.namu.wiki/i/GizmjxCs2Ddih5gbVjp13yd2yKAYiGogFelj2DeLfaueWSWMa-ul7fUuwxEuhAong_is6zqCzpRqbVY4mmsUWE21nwGEvEewIPmgU4Jm7iL-tSuRJKUiSJnDCwF_MoRQmdWRFFCXF8c_RRfk63v8FA.webp,국내/가요,1988,대한민국,,봄여름가을겨울,"항상 기뻐하는 사람들(봄)
헤어지긴 정말로 싫어
내가 걷는 길
거리의 악사(여름)
혼자걷는 나의 뒷모습","사람들은 모두 변하나봐(가을)
방황
전화
보고싶은 친구
12월 31일(겨울)",,,,,,,,,,,,,,,,,,
,Rock Will Never Die,https://i.namu.wiki/i/ZKDDmWXMdePVEFurGdZ4QCOiMygqKIqAaSfbH8O2_5zFkBQ2NQCI89JTqnigSMqAw9yS3g8PiM5TNHOvrcyXQGXqEe4Kl0Qkr9RXCxIpSI4VhPL-v2s4oaCHVhXID2y-i0oNCA0PQuzuk9SzjXRbjw.webp,국내/가요,1986,대한민국,,부활,"희야
비와 당신의 이야기
너뿐이야
길가의 연인들","인형의 부활
슬픈 환상
사랑 아닌 친구
사랑의 흔적
건전 가요",,,,,,,,,,,,,,,,,,
,Remember,https://i.namu.wiki/i/nu_GOFoKtpr06gDYNo3Njek1p5QoIyjSMiIQuNGe0F6H8MsM8R2UASeu_JXbSkGZs_YyGnLAj3QNWtrQy9bYUyhsAWOOsbTmXnFKX6T-tkb-Yd9Y7zW7bkeppHJbQ_SQyOK6GSCzLyCizrOMFvkSmQ.webp,국내/가요,1987,대한민국,,부활,"회상 1
화상 2
회상 3
2월 7일
이나라 주인 되어","천국에서
슬픈 사슴
Jill's theme",,,,,,,,,,,,,,,,,,
,사랑과 평화 1집 - 한동안 뜸 했었지,https://i.namu.wiki/i/aFLNg2Yo5vJeM1a1E11LcVSpovWPxiAmCUc03RSEE3mEivnrWwpgURnfK9G6BTwzFmk8ObUHQyzW0VbFIcrHcQMsSyBJ2kreCYvYzTuXyxpLxhXmoVtr84vezUdGFhsWRVNgXUm8C6UDDCeB3V0kaw.webp,국내/가요,1978,대한민국,,사랑과 평화,"한동안 뜸 했었지
노래여 퍼져라
어머님의 자장가
베에토벤의 운명
여왕벌의 행진
","저바람
달빛
뭉게구름
아베마리아",,,,,,,,,,,,,,,,,,
,산울림 1집 - 산울림 새노래 모음,https://i.namu.wiki/i/G8EVwhM-XO1LktDm2twJ_3IGmMxv3qvUdEUKXOg2OkziFn2weBbCnorVLNJ7A2mbNs-oyozf-dT1u9Up-aKacDT3_IyyWB5uLU-w2Do8nNp74upaynccDG8xhhkhBBIpGv19CVnT4zdl_FydlfU6JA.webp,국내/가요,1977,대한민국,,산울림,"아니 벌써
아마 늦은 여름이었을꺼야
골목길
안타까운 마음
그 얼굴 그 모습","불꽃놀이
문좀 열어줘
소녀
청자(아리랑)",,,,,,,,,,,,,,,,,,
,산울림 2집 - 내 마음에 주단을 깔고,https://i.namu.wiki/i/KSUHXosBvIWF_VYKwnTBLWcr0i72OVpGB03ioMI_aDhSOZG9ENRSa-S5KS_embYQx0ausBOZ9amBtzWEyTEBLlaKc_ngs7kb1gJZFMDSO5BFvLaH2RC4va0-aDuCzR17eRfPvXLdUE4ifMtn33vjRA.webp,국내/가요,1978,대한민국,,산울림,"내마음에 주단을 깔고
노래 불러요
안개 속에 핀꽃
둘이서
기대어 잠든 아이처럼","어느날 피었네
나 어떡해
이 기쁨
정말 그런것 같애
떠나는 우리 님",,,,,,,,,,,,,,,,,,
,산울림 3집 - 내 마음,https://i.namu.wiki/i/O9Bbn8IDmOnzhzW34Rm02iciMHdxL1XsCkgkzvO2P8jacgWf90Q1O29IY8cT6g3uQfSm5O0gro_LA0sfKGXGquLZu_bruB9MI802kSldDMk1NWTqztXy7QersOIOgKTgDph4_FAl554tT4kWKfOH2A.webp,국내/가요,1978,대한민국,,산울림,"내 마음(내 마음은 황무지)
아무말 안해도
한마리 새되어
아무도 없는 밤에",그대는 이미 나,,,,,,,,,,,,,,,,,,
,서태지와 아이들 2집,https://cafe24.poxo.com/ec01/jgyloveyou/skndmecfBseIhRozIFgux89wCm4JzwrWlXLo7BZrDCFvxwQDUD7+OeaV0wCabVLYtiYawloRT9Shqx62eUvv0g==/_/web/product/big/201604/615_shop1_868586.jpg,국내/가요,1993,,,서태지와 아이들,"Yo! Taiji
하여가
우리들만의 추억
죽음의 늪","너에게
수시아
마지막 축제
우리들만의 추억",,,,,,,,,,,,,,,,,,
,서태지와 아이들 1집,https://i.namu.wiki/i/rizekSyxRgnB0pl7D6XMD3nlISbcRW3LqpP8V8GdANIUMKofpvwjHmHP2GF7wUI2PnNbVOjtRSWbD-4s0MGp6gkRW68bem3fCuR9zdLDkry_986HS6-Fo5bKsuJn3ZJPTqHOlGXvPekLP0trQwwNJg.webp,국내/가요,1992,,,서태지와 아이들,"Yo! Taiji!
난 알아요
환상속의 그대
너와 함께한 시간 속에서
이밤이 깊어가지만","내 모든것
이제는
Blind Love
Rock' n Roll Dance
Missing",,,,,,,,,,,,,,,,,,
,서태지와 아이들 3집,https://i.namu.wiki/i/0Zz6K1LSYsaPSt_s3QzBOpniJ4cbUZ0i9pPekpZpVsJ6gsGtfBas5sS6YCwZ55w0oCF-EDm-v8ehEaqpvUOcQ5948aoG1KDsHrSGgwlPk2W3b_UH68sTOHHtm1c73UYGY1YlDt6sxYqBnRsOd50SFQ.webp,국내/가요,1994,,,서태지와 아이들,"Yo! Taiji
발해를 꿈꾸며
아이들의 눈으로
교실 이데아
내 맘이야","제킬박사와 하이드
영원
발해를 꿈꾸며(intrumental)
널 지우려 해",,,,,,,,,,,,,,,,,,
