id,name (LP이름),image,category,수록일자,국가,위치,가수,side1,side2,,,,,memo,비고,,,,,,,,,,,,
,유재하 1집 - 사랑하기 때문에,https://i.namu.wiki/i/_i2auh4oX9sthjOsxcPHFTUYhwU0ePH6mT5GLacvJeifSecX9FQZuNFBVIow6s400Lu_cJYFzVq21hy5FJUKmqwYhjK2YvNWZMS_Ufo4awA3VLdSQ-MbIPWH5HbKCq-ld8t6XjTg0NNRIjwOSXHbCg.webp,국내/가요,1987,대한민국,,유재하,"우리들의 사랑
그대 내 품에
텅빈 오늘 밤
내 마음에 비친 내 모습
Minuet(경음악)","가리워진 길
지난날
우울한 편지
사랑하기 때문에",,,,,,,,,,,,,,,,,,
,윤영배 정규 1집 - 위험한 세계,https://i.namu.wiki/i/rJnDUFOlG7-ZrU362nHIe64U32oaEXapT9PcoDXlPgEeSSdpdulnczF5kES4NNpiSGKn59LojpPelNfgCpViolILyHecRxHpVzjqxWB_A-w1BSD78Im4sCY6p-3ZTwWq6HPs-1PhqODYUVAnOqdusw.webp,국내/가요,2013,,,윤영배,"자본주의
선언
백년의 꿈
점거","위험한 세계
빈마을
목련
구속",,,,,,,,,,,,,,,,,,
,이문세 5집 - 가로수 그늘 아래서면,https://i.namu.wiki/i/m2q1PM4YAWlaoBH8GhBjMl6s5riHKF_RBVfn5Z5YTelcg-fR71mVZg70gG38TRisWYxv_HD4LcvKyA4PqaEJdw7q9h9pukGiIScdvph1kLc3xkMOL6E-6I58IInLjuJkT0l5cWqRbGewVBLUxSRR9A.webp,국내/가요,1988,대한민국,,이문세,"시를 위한 시
안개꽃 추억으로
광화문 연가
내 오랜 그녀
이밤에","가로수 그늘 아래서면
붉은 노을
기억의 초상
끝의 시작
사랑은 한줄기 햇살처럼
제작년월일",,,,,,,,,,,,,,,,,,
,이문세 4집 - 사랑이 지나가면/깊은밤을 날아서,https://i.namu.wiki/i/m2q1PM4YAWlaoBH8GhBjMl6s5riHKF_RBVfn5Z5YTelcg-fR71mVZg70gG38TRisWYxv_HD4LcvKyA4PqaEJdw7q9h9pukGiIScdvph1kLc3xkMOL6E-6I58IInLjuJkT0l5cWqRbGewVBLUxSRR9A.webp,국내/가요,1987,대한민국,,이문세,"사랑이 지나가면
밤에 머무는 곳에
이별이야기
그대 나를 보면
가을이 오면","깊은 밤을 날아서
슬픈미소
굿바이
그녀의 웃음소리뿐
어허야 둥기 둥기",,,,,,,,,,,,,,,,,,
,이상은 정규 6집 - 공무도하가,https://i.namu.wiki/i/vEP_5fyW89PKV02wmRj2JmHiTFkJ6YZ70GaLLi6T6aiKDZsq2epRpiAVW6dChWAoGxkH359_d9OO7LEHYg5yTGvqccFlHqLY9NSB0q9SrxPH_7t6bcTLrqjeccN_I9PNLqju0bAYVfctHC2oxdSoqg.webp,국내/가요,1995,,,이상은,"보헤미안
Don't Say That Was Yesterday
Summer Clouds","공무도하가
삼도천
22, 23, 24","Spring
Come, The Children Do
성에","새
September Rain Song
무엇으로 다시 태어나든
",,,,,,,,,,,,,,,,
,이승환 3집 - My Story,https://i.namu.wiki/i/RJXoMFcfuKh7oGCIKpq14qq1JpRKJDWJwpZKMARK3dczHiNjqHZ9UbTKBPBLprNRQQ-sRYAJQjZWAzGRzhqzlaJNQPYy37_cFil0fNk75Aq1ZgtrDWwga_7LAIESM1D8ebLMGKyI_RzgZIi5lHL5aw.webp,국내/가요,1993,대한민국,,이승환,"My Story
내게
잃어버린 건...나 Part3
남자는? 여자는?
너의 기억
무너져버린 믿음 앞에서","사랑에 관한 충고
Dunk Shot
Radio Heaven
화려하지 않은 고백
내 어머니",,,,,,,,,,,,,,,,,,
,이정선 7집 - 30대,https://i.namu.wiki/i/3NFdttR7Z7soTMYxICiwjBtGoy9BMM6RM8zLTi6ssZ_7wEyXlhiQ6otCIrbbSHkNBUrdowsXpz3-BePwOAixnW0wB_Yiz-FykkMddvNzi5iPKWlvvUqzSdoj6-dl9YgxCaGs1Ja-k4AeuG8hCUDNxw.webp,국내/가요,1985,대한민국,,이정선,"우연히
외로운 밤에 노래를
곁에 없어도 당신은
우울한 여인
행복한 아침","울지않는 소녀
그녀가 처음 울던 날
건널수 없는 강
바닷가에 선들
은이
시장에 가면",,,,,,,,,,,,,,,,,,
,이장희 - 그건 너!,https://i.namu.wiki/i/GCpUMclU70kltGUIBXQZ2Agff2TD9smpIcDBHHq0_mfAOdxm5qTLI9amZdxRRjGEqnUXpmMuiEdlNmD2upLJBZxnTPp8lSNWE2UWtP6BNtaV-3m3Ob9RpApucvQd6yt7YQ9UYg5mEF2HgHlZy6vYsA.webp,국내/가요,,대한민국,,이장희,"그건 너
촛불을 켜세요
그애와 나랑은
당신은 누군가요
친구여","누구일까
자정이 훨씬 넘었네
애인
비의 나그네",,,,,,,,,,,,,,,,,,
,장필순 5집 - 나의 외로움이 널 부를 때,https://i.namu.wiki/i/DhceMFKPyqn-J5PVgfCZS5GV7QnL9QcNLsHC9ZOVtnfs6Yk4UYE2dN5ELocRUdlmuq-vzUPHP9wsnE2VtGzjtN1JlxLMuW9O5AilayPBcZQYue1qZ7Dsa_i8KDTqg6bxhKnwEW3dVn_hLbegfeBNjQ.webp,국내/가요,1997,,,장필순,"첫사랑
나의 외로움이 널 부를 때
스파이더맨
TV, 돼지, 벌레
풍선
빨간 자전거 타는 우체부","그래!
그녀에 관한 짧은 얘기
넌 항상
사랑해봐도
이곳에 오면
집으로 돌아오는 길",,,,,,,,,,,,,,,,,,
,장필순 6집 - Soony 6(리마스터링),https://i.namu.wiki/i/rwq_KsvuQ7PW2chapNka3IwSbkjDeg82DBWpz5yM02VfBJUNkJqBxq9aASBLJyRbQmA11v3G90eQCNUTFMRgzXJIKgVLd_uKbRS5wcv8jlcpCYGO06HiLc0GJWVOtODYvdtse7nz3hjnsfsHz11pMg.webp,국내/가요,2021,대한민국,,장필순,"헬리콥터
고백
soony rock
10년이 된 지금
흔들리는 대로","동창
어떻게 그렇게 까맣게
모래 언덕
신기루
햇빛",,,,,,,,,,,,,,,,,,
,전인권.허성욱 - 1979-1987 추억 들국화,,국내/가요,,대한민국,A-4-1,"전인권, 허성욱, 최성원, 최구희, 주찬권","시작곡
북소리
사랑한 후에
머리에 꽃을
여자","이유
날이갈수록
어떤...(가을)
사노라면(연극 칠수와 만수 중에서)",,,,,,,,,,,,,,,,,,
,이소라 6집 - 눈썹달,,국내/가요,2020,,,이소라,"tears
Midnightblue
바람이 분다","이제 그만
별
듄
","쓸쓸
아로새기다
Fortuneteller","Siren(세이렌)
봄
시시콜콜한 이야기
",,,,,,,,,,,,,,,,
,정태춘.박은옥 - 북한강에서,https://i.namu.wiki/i/cQeZeXyKtluhosPhtme_VgASJGMtB0GLc4Yr5qmAw1aEn_ERlScK3U7yRVO5UMISUIFo9O7GReoCqRT1FNmKjTAPSDpyMkZKlsQJZdjmPYDw0aeIe3NDTmKx8Sw2R_NV9RP4ECLm-oLDXA9In-jrzg.webp,국내/가요,1985,대한민국,,"정태춘, 박은옥","북한강에서
사망부가
애고, 도솔천아
서해에서
여드레 팔십리","바람
봉숭아
서울의 달
장서방네 노을
들 가운데서
정화의 노래",,,,,,,,,,,,,,,,,,
,정태춘 - 시인의 마을,https://i.namu.wiki/i/VvZ_UPUeRaQCAVy5uS_nbmlbKQV1zrLT9Ensc2LCS2bSE3NKWBDmJZHKDhwdnypu3gtBtDrC9mChQ20HKbCO_Ajdqgd6B51PPzQst1HSU9nb5WNXxnZ2iBhrcIcOsfU85qD2Ou6-O8I9QqWe6rdkEA.webp,국내/가요,1978,대한민국,,정태춘,"시인의 마을
사랑하고 싶소
촛불
서해에서
그네","목포의 노래(여드레 팔십리)
아하! 날개여
겨울나무
사랑의 보슬비
산너머 두메",,,,,,,,,,,,,,,,,,
,조동진 1집 - 행복한 사람,https://i.namu.wiki/i/8VAjjl_xo-0RbgYUVD8jp4_kTp4g6WUykEAJnviVmu2M9WAfITfvZGM3bBhiuwBGG_ifPOPA_dwuMShFmJIrlbkh53PvNdr5bd3EVn_f8CDl7ZV-uU3psrn17hLqnXmIS0QMuRnoYjdpVgfgTWFtnQ.webp,국내/가요,1979,대한민국,,조동진,"행복한 사람
겨울비
긴긴다리 위에 저녁해 걸릴때면
바람부는 길
작은 배
나의 조국","불꽃
내가 좋아하는 너는 언제나
흰눈이 하얗게
저 멀리 저 높이
다시 부르는 노래",,,,,,,,,,,,,,,,,,
,조용필 7집 - 눈물로 보이는 그대,https://i.namu.wiki/i/xzm2kT8jSIxiL1Q-9gurKnl0Rzbqui2vMOJZQ1o6ae_3COmKWKDkZr13YYyyecqh2jTbcqDSC58gYWC_qUkJTWYh020w9w8ZI0AENZwWMmUcx7p_anJ2QF_DlT7ZpRS8CXDymfhayEc0SFY-YP2g6A.webp,국내/가요,1985,대한민국,,조용필,"눈물로 보이는 그대
어제, 오늘, 그리고
프리마 돈나
나의 노래
내가 어렸을 적엔
그대여","들꽃
사랑하기 때문에
미지의 세계
아시아의 불꽃
여행을 떠나요
진짜 사나이",,,,,,,,,,,,,,,,,,
,조용필 1집 - 趙容弼,https://i.namu.wiki/i/B23_vmXiB7INW_ykamFeitfLHY-MY3FdG4-9VL2PgzeQV-8XwfHq9bRTOqdt3Oqt6JzOBRksthyCUZSvZJATQTj_E_BOldlRwfBQnZtyPKrZ7dGPGxVhKDHew2uGJF2C-17PIzT4wzrQQ8KZAMZNgw.webp,국내/가요,1980,대한민국,,조용필,"창밖의 여자
돌아와요 부산항에
잊혀진 사랑
돌아오지 않는 강
정
사랑은 아직도 끝나지 않았네
","단발머리
한오백년
대전 블루스
너무 짧아요
슬픈 미소
너와 나",,,,,,,,,,,,,,,,,,
,마그마 - Magma,https://i.namu.wiki/i/h8YJ0SYizmepHhYz92vcpINMpCVFYsrk5Dt0Qap9J3IxUTzPQkqceCXyEUmZjNB18a-AHY6HpmMzenkKD1I_jKIIUKBDE3r-QjmPAXztrf02nVtdSfeUfecpglNEey4e-qT1xkOeM4UyEkpbxT_R0A.webp,국내/가요,1981,,,"마그마(조하문, 김광현, 문영식)","알수없어
이럴수가 있을까
아름다운 곳
기다리는 마음
우린 서로 사랑하니까","해야
잊혀진 사랑
그날
탈출(경음악)",,,,,,,,,,,,,,,,,,
,한대수 1집 - 멀고 먼 길,,국내/가요,1977,대한민국,,한대수,"물 좀 주소!
하룻밤
바람과 나
잘가세!","옥의 슬픔
행복의 나라
인상
사랑인지?",,,,,,,,,,,,,,,,,,
,한대수 3집 - 무한대,https://i.namu.wiki/i/AyKlj6ukahPpiJvnTwkaHXWK6FNLUw6ilLGDeg_7Z_Tng9mRaNSCqU4Pju-g_LQZwCIhpKZy1pqYabPGSdbHTsxS10NUs381Z5N_txrjXC97PYz9hYu543xjPSVpfzX2ZWM1dIgNklIWZfICPeYQhQ.webp,국내/가요,1989,대한민국,,한대수,"나혼자
하루아침
또 가야지
마지막 꿈
고무신","One Day
If You Want Me To
'Till That Day
Widow's Theme(과부타령)
Infinyty(무한대/instrumental)",,,,,,,,,,,,,,,,,,
,한영애 2집 - 바라본다,https://i.namu.wiki/i/gsr1Zo80ht_XYYhp_QTXSTlFq4_jU-ncywKk0kKD9sbdHmD7T1-nWDPccecnzHTuMEQLTpZ5frPPRPh2vgbtLnRnriDqp9ftRzFlq9DePvc1OVeTfyEifsn7awu4vQFq-L5XKXTcmQQA3VPj7SEkxQ.webp,국내/가요,1988,대한민국,,한영애,"누구없소?
호호호
비애
달
여인 #3
","코뿔소
갈증
루씰
바라본다",,,,,,,,,,,,,,,,,,
,듀스 2집 - DEUXISM(듀시즘),https://i.namu.wiki/i/gsr1Zo80ht_XYYhp_QTXSTlFq4_jU-ncywKk0kKD9sbdHmD7T1-nWDPccecnzHTuMEQLTpZ5frPPRPh2vgbtLnRnriDqp9ftRzFlq9DePvc1OVeTfyEifsn7awu4vQFq-L5XKXTcmQQA3VPj7SEkxQ.webp,국내/가요,1993,,,듀스,"Here we come!
그대 지금 다시
무제
빗속에서
Go! Go! Go!
힘들어","개성
그때
약한남자
또 하나의 슬픔
우리는
너만을 위한
Prelude-난...",,,,,,,,,,,,,,,,,,
,패닉 1집 - PANIC,https://i.namu.wiki/i/PinRKDyrVQeAsWYQvngWV00MBVRJ2N4FtQyYKRWS2u7sWXQFmmE8Lpt-xvs__-SnbRAJkN_ygsGNtPqEAPnGo3gFPNlsig8veRFGoZc_UII1V7C3jYMYYOJUcZHOHFix2NCAXLnJETFMQByV9mhAMw.webp,국내/가요,1995,대한민국,,패닉,"Intro : Panic Is Coming
아무도
너에게 독백
달팽이
다시 처음부터 다시","왼손잡이
더...
기다리다
안녕
Outro : 다시 처음부터 다시 (Saxy Reprise)",,,,,,,,,,,,,,,,,,
,패닉 2집 - 밑,https://i.namu.wiki/i/HaOcFS3KHx8egELCVCmps9Od8hbBjWEJBH9RbuiTdrPvgBeS2H8tgVFpLcj6xZT2ExVFnxWFmiPBo0E6AFq7-Z8Hm3oSBjItzqBnGt-QNdtb-JekkeOZR--2G6GujFAQGkf4x39T-GRKd99IPHyH0Q.webp,국내/가요,2021,대한민국,,패닉,"냄새
UFO
江
어릿광대(insert)
그 어릿광대의 세 아들들에 대하여","벌레
불면증
mama
사진(outro)",,,,,,,,,,,,,,,,,,
,패닉 3집 - Sea Within,https://i.namu.wiki/i/Hg_aDbwotyAcTjmB5MhUtUJ3vgqSt7sBQVB9u5k15i_dppmcgzvM8TeLTZJ5uaSf69sib3_mmzx4ILrWSydj71asqVMPuZr6QkiR00F1ZjWl8Zmt-8NxQgBpStX801Ezf6grPvaJmVnwYrfwwzFR8g.webp,국내/가요,2020,독일,,패닉,"Panicillin Shock(intro)
숨은그림찾기
내 낡은 서랍속의 바다
태엽장치 돌고래
뿔
희망의 마지막 조각","단도직입
오기
여행
Red Sea of Red Tea(instrumental)
미안해
내 낡은 서랍 속의 바다(edit)",,,,,,,,,,,,,,,,,,
,DJ.DOC 5집 - The Life... Doc Blues 5%,https://i.namu.wiki/i/JUWN4-XsD1grvLhSbl2wEw49mxw_mX1aj0G9qtVPfMOdm8LRRk291iVTR16tJLZ-zScnk-wJt0aADBWdSzigg3b5OM13SOvNmtRH66D2PiHyvcMUqQmVq9BYMmKfLzSlmd-eQxENN6cz-Bzcvl9HQg.webp,국내/가요,2000,캐나다,,DJ.DOC,"intro(와신상담)
비.愛 (Acoustic)
L.I.E (feat. 박D)
Nuclear Lunch The Detect
포조리","Boogi Night (feat. 뿜빠이)
Run to You
기다리고 있어 (feat. 앤썸)
아무도 모르게","사랑을 아직도 난 (feat. 미스터 타이푼, 후니훈, 조원선)
Someday
D.O.C Blues
부익부 빈익빈 (feat. 허인창)","알쏭달쏭 (feat. 미스터 타이푼, 후니훈)
Analog
Alive (feat. 45RPM, 뿜빠이)
비.愛 (Original)",,,,,,,,,,,,,,,,
,델리스파이스 1집 - deli sp!ce,https://i.namu.wiki/i/UlR2yg8v91U4PVtjWkqszsqV4_7oW4PpMocQnjB9YrOV0N0KjhrpcUBU12uiMxsL9eiAkmA1bUIrM76OeKthis4IiUDLiIK08nghBL0nXwo322lXOloB6D3IYbl3vJjdV82w7ACU2aEvExHfmnab9w.jpg,국내/가요,1997,중국,,델리스파이스,"노캐리어
가면
콘 후레이크
기쁨이 들리지 않는 거리
투명인간
저승 탐방기","귀향
차우차우-아무리 애를 쓰고 막아보려 해도 너의 목소리가 들려
누가?
오랜만의 외출
사수자리",,,,,,,,,,,,,,,,,,
,크라잉넛 25주년 베스트 앨범,https://i.namu.wiki/i/UlR2yg8v91U4PVtjWkqszsqV4_7oW4PpMocQnjB9YrOV0N0KjhrpcUBU12uiMxsL9eiAkmA1bUIrM76OeKthis4IiUDLiIK08nghBL0nXwo322lXOloB6D3IYbl3vJjdV82w7ACU2aEvExHfmnab9w.jpg,국내/가요,2020,대한민국,,크라잉넛,"서커스 매직 유랑단
말 달리자
룩셈부르크
명동콜링","마시자
개가 말하네
지독한 노래
비둘기","펑크걸
밤이 깊었네
갈매기
순이 우주로","뜨거운 안녕
양귀비
좋지아니한가
다죽자",,,,,,,,,,,,,,,,
,다섯손가락 1집,,국내/가요,1985,대한민국,,다섯손가락,"새벽 기차
오늘은 정말
좁은 골목
그대
작은 기쁨","수요일엔 빨간 장미를 - 4:32
슬픈 사랑 - 4:37
고독한 이에게 - 4:08
사라진 가을 - 4:38",,,,,,,,,,,,,,,,,,
,시나위 2집,,국내/가요,1986,대한민국,,시나위," 새가 되어가리 - 5:01
해 저문 길에서 - 6:55
 마음의 춤 - 3:37
진실한 모습 - 2:55","시나위 - 3:59
연착 (inst.) - 4:19
들리는 노래 - 5:06
빈 하늘 - 5:17
밤하늘엔 무엇이 - 3:31",,,김영동 작품집,,국내/가요,,대한민국,,김영동,"1章:매 굿-주술적으로
2章: 출어(出漁)–경쾌하게
3章:파도(波濤)–힘차게
4章:귀환(歸還–장엄하게
5章: 평화(平和)–홍겹게 月요
6章: 천둥–효과적으로
7章: 죽음-의미를 가지고
8章: 매 굿–장중하게","1章:降臨-제의적으로
2章:白衣-장단의 흐름을 따라
3章: 弘益-장엄하고 섬세하게",대한민국,,시나위,"새가 되어가리 - 5:01
해 저문 길에서 - 6:55
마음의 춤 - 3:37
진실한 모습 - 2:55","시나위 - 3:59
연착 (inst.) - 4:19
들리는 노래 - 5:06
빈 하늘 - 5:17
밤하늘엔 무엇이 - 3:31",,
,시인과 촌장 2집,,국내/가요,1986,대한민국,,시인과 촌장," 푸른 돛
비둘기에게
 고양이
진달래
얼음무지개","사랑일기
떠나가지마 비둘기
 매
풍경
 비둘기 안녕",,,김영동 슬기둥 노래집,,국내/가요,,대한민국,,김영동,"1. 누나의 얼굴
2. 개구리 소리
3. 애사당
4. 우리함께 친구되어
5. 누나의 얼굴(경음악)","1. 꽃분네야
2. 상주모심기
3. 어화둥둥 우리사랑
4. 숙대머리(전통민요)",대한민국,,시인과 촌장,"푸른 돛
비둘기에게
고양이
진달래
얼음무지개","사랑일기
떠나가지마 비둘기
매
풍경
비둘기 안녕",,
,브라운 아이즈 reason for breathing?,,국내/가요,2016,,,브라운 아이즈,"01 INTRO 01
02/ 전점 03:31
03 / 비오는 안구정 03 35
04/ 떠나지마 04134
05 / BROWNCITY 00 38
06 / ALU (IWANNA FALL INLOVE WITH YOU) 0437
07 / PIANO CAVATINA (2 OL 63
08 / TRUE LUV 04.57","09 FOR YOU (20KIR) 0450
10  환상 03.40
11 그래도 되겠니 03.1
12 INTERLUDE 02 01
13 MISS YOU 0340
14 오후
15 이별송",,,김영동 아마존,,국내/가요,,대한민국,,김영동,"1. 아마존
2. 인디오들의 성당
3. 삐삭 시장의 인디오
4. 우르밤바 계곡
5. 풍요의 강","1. 태양의 음악
2. 개화되는 원시림
3. 인디오의 십자가
4. 우르밤바 계곡 Ⅱ
5. 아마존",대한민국,,브라운 아이즈,"intro
점점
비오는 압구정
떠나지마
brown city
사랑(i wanna fall in love with you)
Piano cavatina(점점)
true ruv","for you(돌아가줘)
환상
그래도 되겠니
interlude
miss you
... 오후
이별송",,
,cry... our wanna be national,,국내/가요,,,,u & me blue,"지울 수 없는 너 (4:09)
그대 영혼에 (영화 '전태일' 삽입음악) (4:43)
어떻게 (4:23)","나의 다음 숨결보다 더 아름다운
너를 원하고 있어 (3:35)
천국보다 낯선 (4:28)
없어 (4:12)
그날1 (Original Version) (4:28)","세상 저편에 선 너 (5:34)
Moments (2:52)
La La La La Day (5:37)","U (5:31)
언제나 내 곁에 (3:39)
그날2 (Pseudo Live Version) (4:43)
지울 수 없는 너 (Beta Version)
Bonus Track (4:07)",한국 전통 음악,,국내/가요,1986,대한민국,,"김영배, 남기문, 방승완, 박은하, 최병삼","호남우도굿
설장구","읏다리풍물 
영남농약",대한민국,,유앤미블루,"지울 수 없는 너 (Original Version)
그대 영혼에
어떻게","나의 다음 숨결보다 더 아름다운 너를 원하고 있어
천국보다 낯선
없어
그날 1 (Original Version)","세상 저편에 선 너
Moments
La La La La Day","U
언제나 내 곁에
그날 2 (Pseudo Live Version)
지울 수 없는 너 (Beta Version)"
,허클베리핀 올랭피오의 별,,국내/가요,,대한민국,,허클베리핀,"1. Time 3:19
2. I Know 2:44
3. 물고기 3:05
4. 연 4:47
5. Hey Come 4:44
6. 불안한 영혼 5:51","7. K 3:53
8. 올랭피오의 별 4:38
9. 춤추는 고양이 3:49
10. 민요 4:03
11. 자폐 4:34",,,대수궁가 1집,,국내/가요,,대한민국,,"이용배, 강종철,언히진, 김일구, 박춘경, 박홍출, 이생강",,,대한민국,,허클베리핀,"1. Time 3:19
2. I Know 2:44
3. 물고기 3:05
4. 연 4:47
5. Hey Come 4:44
6. 불안한 영혼 5:51","7. K 3:53
8. 올랭피오의 별 4:38
9. 춤추는 고양이 3:49
10. 민요 4:03
11. 자폐 4:34",,
,3호선 버터플라이,,국내/가요,2022,,,,01 스 모 우 크 핫 커 피 리 필 (04:28) 02 꿈 속 으 로 (05:14) 03 Story Undone (04:11) 04 니 가 더 섹 시 해 괜 찮 아 (03:22),side B : 05 헤어지는 날 바로 오늘 (04:43) 06 쿠쿠루쿠쿠 비둘기 (06:10) 07 제주바람20110807 (04:16),08 J Says (04:36) 09 너 와 나 (04:07) 10 다 시 가 보 니 흔 적 도 없 네 (04:20) 11 끝 말 잇 기 (01:25),12 향 (05:04) 13 Hello (04:41) 14 헤 어 지 는 날 바 로 오 늘 〔 live] (05:31),대수궁가 2집,,국내/가요,,대한민국,,"이용배, 강종철,언히진, 김일구, 박춘경, 박홍출, 이생강",,,대한민국,,3호선 버터플라이,"01 스 모 우 크 핫 커 피 리 필 (04:28) 
02 꿈 속 으 로 (05:14) 
03 Story Undone (04:11) 
04 니 가 더 섹 시 해 괜 찮 아 (03:22)","05 헤 어 지 는 날 바 로 오 늘 
(04:43) 06 쿠 쿠 루 쿠 쿠 비 둘 기 
(06:10) 07 제 주 바 람 20110807 (04:16)","08 J Says (04:36) 
09 너 와 나 (04:07) 
10 다 시 가 보 니 흔 적 도 없 네 (04:20) 
11 끝 말 잇 기 (01:25)","12 향 (05:04) 
13 Hello (04:41) 
14 헤 어 지 는 날 바 로 오 늘 〔 live] (05:31)"
,김영동 작품집,,국내/가요,,대한민국,,김영동,"1章:매 굿-주술적으로
2章: 출어(出漁)–경쾌하게
3章:파도(波濤)–힘차게
4章:귀환(歸還–장엄하게
5章: 평화(平和)–홍겹게 月요
6章: 천둥–효과적으로
7章: 죽음-의미를 가지고
8章: 매 굿–장중하게","1章:降臨-제의적으로
2章:白衣-장단의 흐름을 따라
3章: 弘益-장엄하고 섬세하게",,,판소리 korea's epic vocal,,국내/가요,,미국,,김소희,"1. Scene from Heung Boo-Ga (p'ansori) (7:44)
2. Pyungjo Hoe Sang (first movement) (3:34)
3. Kayageum Sanjo (7:17)","1. Haegeum Shinawi (3:09)
2. Kuhmoongo Sanjo (6:21)
3. Chambu Taryong (2:13)
3. Kayageum Sanjo
4. Scene from Shim-Ch'ung-Ga (p'ansori) (9:27)",,,,,,,
,김영동의 명상음악,,국내/가요,1991,대한민국,,김영동,"1. 귀 소 (5 : 24)
2. 아침의 소리 (3 : 11)
3. 여 명 (수룡음) (8 : 00)","1. 산 행 (3 : 10)
2. 영 가 (7 : 00)
3. 영산회상불보살 (7 : 47)",,,김성수 창 흥보가,,국내/가요,,대한민국,,김성수,"1. 흥보 집터 잡는 대목(진양조)
2. 봄이 돌아와 제비가 날아 듦 (중중모리
3. ·제비가 강남으로 돌아감 (진양조)
4. 흥보와 제빈 작별 (중모리)
5. 제비 점고 (중중모리)
6. 제비 노정기 (중중모리)
7. 흥보 집 당도 (중중모리)
8. 박씨를 심음 자진모리","1. 가난 타령 (진양조)
2. 흥보 마누라를 달램 (중중모리)
3. 흥보 자식들을 불러들임 (자진모리
4. 박타는 대목 (진양조)
5. 박이 벌어짐 (휘모라)
6. 동자가 나옴 (차진모리)
7. 쌀과 돈이 쏟아짐 (휘모리)",,,,,,,
,김영동 대금연주집,,국내/가요,,대한민국,,김영동,"상영산
파문",대금산조,,,더리틀엔젤스,,국내/가요,,네덜란드,,더리틀엔젤스,"아리랑
도라지
짹짹 삐약 삐약
매들리
어메이징 그레이스","울산 아가씨
보리밭
나의 어머니
교회로 가는 시간
도미니크",,,,,,,
,먼길,,국내/가요,,대한민국,,김영동,"1. 방 황(4 : 44)
2. 멀리있는 빛(김영태 작사/8 : 36)
3. 하 나(3 : 47)","1. 먼 길 (3 : 00)
2. 사랑의 슬픔(3 : 57)
3. 이 별 (4 : 47)
4. 상 여(4 :00)
5. 시장에 가면(건전가요)",,,C.M.S.S 創樂會作品集,,국내/가요,1984,,,C.M.S.S,"LEE, SUNG-JAE
""LIAISON"" for 14 Instruments
1. Sostenuto
2. Libre
3. Allegretto giocoso
SUH, KYUNG-SUN
""PHENOMENON I""
for Two Pianos","YOON, HAI-JUNG
Sonata for Solo Violin
1. J=72
2 .= 60
PAIK, BYUNG-DONG
""SORI"" für Flöte,
Gitarre und Violoncello",,,,,,,
,김순남 가곡집,,국내/가요,1990,대한민국,,김순남,"1. 산 유 화 (김소월, 시) [2' 22]
2. 자 장 가 (박찬모, 시) [ 4' 10]
3. 초혼 (김소월, 시) [4' 07]
4. 잊었던 마음 (김소월, 시) [1' 44]
5. 양(오장환, 시) [3' 16]
6. 진 달 래 꽃 (김소월, 시) [2' 50]
7.탱자 (박노춘, 시) [3' 24]","8. 산 유 화 (김소월, 시) [2' 50]
9. 그를 꿈꾼 밤 (김소월, 시) [2' 40]
10. 상렬 (오장환, 시) [4' 10]
11. 자 장 가 Ⅰ (김순남, 시) [4' 16]
12. 바다 (김소월, 시) [4' 09]
13. 자 장 가 Ⅱ (김순남, 시) [1' 56]
14. 철 공 소 (김북원, 시) [2' 15]",,,C.M.S.S 創樂會作品集,,국내/가요,1980,,,C.M.S.S,"LEE, SÙNG-JAE
Thematisch Zwölftöne und
vier Stücke für Klavier
I. MaBig
I. Shr Langsam
III. Humoresk
N. Sehr Ruig
YOON, YANG-SEOK
TRIO"" fur Oboe,
Klarinette und Klavier
I. Andante con moto
II. Allegro moderato
IIl. Allegro agitato
LEE, SANG-KEUN
PROJECTION"" No. 1
for Pianoforte","PAIK, EUI-HYUN
""PREDICTION"" for Violin,
Clarinet, Viola and Cello
I. J=42,76
II. J=126,88
KIM, CHUNG-GIL
""CHUCHO-MUN'
for 8 Performers",,,,,,,
,김영동 국악작곡집,,국내/가요,,대한민국,,김영동,"개구리소리
누나의 얼굴
시나위","애사랑
자장가
상여길",,,신세계,,국내/가요,1989,대한민국,,신세계,"기다리는 마음
그리운 금강산
님이 오시는지
선구자
수선화
비목","사랑
목련화
동심초
그집앞
가고파
바위고개",,,,,,,
,梅心曲,,국내/가요,,대한민국,,梅心曲,,,,,신세계,,국내/가요,1989,대한민국,,신세계,"기다리는 마음
그리운 금강산
님이 오시는지
선구자
수선화
비목","사랑
목련화
동심초
그집앞
가고파
바위고개",,,,,,,
,下手의 소리,,국내/가요,,대한민국,,"통도사, 봉선사","1. 도량석
2. 종 성","1. 사물 (법고, 목어, 운판, 범종)
2. 오분향례
3. 발원문
4. 반야심경",,,김연준 a sequence of 12 elegies(vol.7),,국내/클래식,1976,,,김연준,,,,,,,,,
,김영동 the buddhist meditation music of korea,,국내/가요,,대한민국,,김영동,"법고 The Drum of the Law
목어 The Wooden Fish
운판 The Temple Gong
범종 The Temple Bell","예불문 The Prayer of Worship
발원문 The Prayer of Wishes
반야심경 The Prajnaparamita Sutra",, , ,,,,,,,,,,,,,,,
,"천수, 반야심경",,국내/가요,,대한민국,,,"삼귀의례
천수심경
반야심경","장엄염불
무상계
벙성계",,,,,,,,,,,,,,,,,,
